Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
Denver,1.005,49.7,25.8,18.2,27.6,26.03843769,7.967032967,43.35483871,0.76,1.09,51.6,34.1,17.7,35.7,40,9.22045264,51.65238678
Detroit Mercy,1.113,51.4,35.8,17.6,27.2,42.67548321,5.281690141,46.81603774,1.03,1.108,53.6,29.7,17.1,28.9,39.445629,8.074534161,52.93440736
Drake,1.079,52.9,23.8,15.5,28.4,36.54042989,7.112970711,49.6124031,1.24,0.943,46.9,22.4,17.5,27.4,38.21096174,6.370967742,43.81313131
Drexel,1.018,49.4,29.4,17.9,30.1,40.27939464,8.006405124,48.44384303,0.99,0.968,47.4,27.4,18,24.2,28.38302752,8.187134503,46.8371467
Duke,1.097,51.1,35.9,18.3,29.9,35.32818533,12.18236173,56.1965812,1.21,0.967,46,26,16.5,23.7,35.64213564,9.850746269,48.45971564
Duquesne,1.081,51.1,33.4,17.3,26.4,40.25341131,10,56.29877369,1.27,1.027,50.6,33.1,20.8,35.2,33.83137673,8.156606852,52.63157895
East Carolina,1.006,47.1,33,19.2,37.1,41.56118143,6.971153846,56.30689207,1,1.03,49.2,28.9,17.4,33.1,34.48818898,10.46931408,49.87951807
East Tennessee St.,1.02,50.5,29.9,19.5,31.2,34.86842105,9.499489275,47.00399467,0.91,1.044,50.8,28.9,17.5,26.9,43.08139535,6.060606061,51.13182423
Eastern Illinois,0.954,48,25.3,19.2,32.4,27.66085388,10.09268795,54.97237569,1.02,1.061,52.2,32.2,19.7,32.5,42.578356,8.811305071,59.36675462
Eastern Kentucky,1.034,48.6,33.4,16.7,24.3,35.70784491,12.89808917,47.78947368,1.12,1.03,50.6,29.3,18.6,25.4,39.87553854,7.012622721,53.77875137
Eastern Michigan,1.017,49.2,25.1,16.9,32.2,33.54178511,6.273764259,36.99870634,0.8,1.145,55.6,32.8,17.1,35,41.42538976,7.185628743,47.30195178
Eastern Washington,1.095,56.2,28,19.9,31.5,44.06593407,9.090909091,55.68181818,1.09,1.048,50.2,25.8,16.2,29.4,43.8370294,6.286836935,49.81949458
Elon,0.961,47.8,24.9,18.4,27.5,40.34876729,6.468716861,49.64131994,0.95,1.084,52.1,30.6,17.1,29,45.74223245,9.375,58.16993464
Evansville,0.894,45.1,20.7,17.6,29.4,33.60522023,5.827067669,44.99314129,0.83,1.089,55.7,25.5,18.9,30.1,41.18297402,6.961506962,57.90080738
FIU,0.98,46,28.6,18.2,37.9,35.76768258,11.17318436,44.8447205,0.81,1.018,49.3,29.5,17.8,28.1,39.76444195,9.221128021,53.75
Fairfield,1.085,51.3,30.9,16.4,27.9,36.70179789,9.019947962,41.4893617,0.76,1.071,54.7,29.3,21.1,33.9,31.45065398,9.500489716,43.1424767
Fairleigh Dickinson,1.01,52.2,25.4,20.6,28.7,37.6744186,5.826906598,51.298027,1.24,1.052,52.1,36.7,22.8,30.6,40.09240246,10.07462687,57.38942826
Florida,1.019,49.4,23.8,16.1,34.5,36.81722689,12.26685796,48.91566265,1.09,0.98,46.3,30.7,17.8,29.2,30.36963037,8.478802993,44.57831325
Florida A&M,0.88,45,27.8,24.2,31.4,35.49536707,9.67402734,47.36842105,0.61,1.072,51.1,33.7,18.1,44.6,34.59422283,10.49723757,50.60606061
Florida Atlantic,1.124,54.3,31.4,16.9,29.6,43.92905866,6.830985915,51.13077679,1.22,0.956,46.1,25.4,17.7,26.3,34.74264706,7.055961071,35.11363636
Florida Gulf Coast,1.049,51.2,26.6,17.1,28.2,44.87252125,9.410646388,50.71895425,1.09,1.043,50.7,28.8,17.3,28.1,41.16331096,9.352517986,51.21328225
Florida St.,1.005,49.3,25.9,17.6,30.4,34.40217391,11.27141569,53.6159601,1.11,1.105,53.1,31.5,17.1,30.9,41.07332625,7.53935377,55.38641686
Fordham,1.023,48.6,29.9,19.2,37.6,41.66228301,12.51956182,52.44667503,0.94,0.961,46.9,25.2,19.2,37.3,30.58120587,9.017132552,48.70801034
Fresno St.,0.993,49.3,24.9,18.1,24.3,40.65391733,10.24590164,53.22812052,1.07,1.032,51.2,28.2,19.7,32.1,37.51600512,9.771309771,52.75362319
Furman,1.141,55,29,15.7,34.8,46.68049793,8.239095315,58.05739514,1.47,1.029,50.6,27.3,18.1,31.8,34.84210526,9.046692607,44.02810304
Gardner Webb,0.996,50.8,28.6,19.6,34.8,33.58538122,13.7605042,47.07520891,0.88,0.981,49.1,25,20.2,39.6,37.69633508,8.159392789,48.15384615
